"botanisch","deutsch","kategorie"
"Ilex aquifolium 'J.C. van Tol'","Fruchtende Garten-Hülse, Fruchtende Stechpalme","Laubgehölze"
"Ilex crenata 'Convexa'","Löffel-Ilex, Japanische Stechpalme","Laubgehölze"
"Impatiens glandulifera","Drüsiges Springkraut, Indisches Springkraut","Unkräuter, Wildkräuter"
"Impatiens walleriana 'Sorte'","Fleißiges Lieschen","Beet- und Balkonpflanzen, Wechselflor"
"Iris 'Sorte' (Barbata-Elatior-Gruppe)","Hohe Garten-Schwertlilie, Hohe Bart-Iris","Stauden"
"Iris pseudacorus","Sumpf-Schwertlilie","Sumpf- und Wasserpflanzen"
"Iris sibirica","Sibirische Schwertlilie, Wiesen-Iris","Heimische, besonders geschützte Pflanzen"
"Iris sibirica","Sibirische Schwertlilie, Wiesen-Iris","Stauden"
"Jasminum nudiflorum","Winter-Jasmin","Laubgehölze"
"Juglans regia","Walnuss","Laubgehölze"
"Juncus effusus","Flatter-Binse","Sumpf- und Wasserpflanzen"
"Juniperus communis 'Hibernica'","Irischer Säulen-Wacholder","Nadelgehölze"
"Juniperus horizontalis 'Wiltonii'","Blauer Teppich-Wacholder","Nadelgehölze"
"Juniperus x pfitzeriana 'Mint Julep'","Grüner Strauch-Wacholder","Nadelgehölze"
"Juniperus x pfitzeriana 'Wilhelm Pfitzer'","Pfitzers Wacholder","Nadelgehölze"
"Kalimeris incisa 'Madiva'","Schönaster, Garten-Schönaster","Stauden"
"Kerria japonica 'Pleniflora'","Gefüllter Ranunkelstrauch, Gefüllte Kerrie","Laubgehölze"
"Kolkwitzia amabilis","Kolkwitzie, Perlmuttstrauch","Laubgehölze"
"Laburnum x watereri 'Vossii'","Edel-Goldregen","Laubgehölze"
"Lagerstroemia indica","Kräuselmyrte, Kreppmyrte, Indischer Flieder","Pflanzen für die Innenraum-Begrünung"
"Lamium maculatum 'Chequers'","Gefleckte Garten-Taubnessel","Stauden"
"Lantana camara 'Sorte'","Wandelröschen, Lantane","Beet- und Balkonpflanzen, Wechselflor"
"Larix decidua","Europäische Lärche","Nadelgehölze"
"Laurus nobilis","Lorbeer, Lorbeerbaum","Pflanzen für die Innenraum-Begrünung"
"Lavandula angustifolia","Echter Lavendel","Laubgehölze"
"Leucanthemum 'Beethoven' (Superbum-Gruppe)","Garten-Margerite, Sommer-Margerite","Stauden"
"Leucojum vernum","Märzenbecher, Frühlings-Knotenblume","Heimische, besonders geschützte Pflanzen"
"Leucojum vernum","Märzenbecher, Frühlings-Knotenblume","Zwiebel- und knollenbildende Pflanzen"
"Liatris spicata","Prachtscharte","Stauden"
"Ligularia przewalskii","Przewalskis Goldkolben, Kerzen-Ligularie","Stauden"
"Ligustrum vulgare","Gewöhnlicher Liguster, Rainweide","Laubgehölze"
"Ligustrum vulgare 'Atrovirens'","Schwarzgrüner Liguster","Laubgehölze"
"Lilium 'Sorte'","Garten-Lilie, Großblütige Lilie","Zwiebel- und knollenbildende Pflanzen"
"Linum perenne","Ausdauernder Lein, Stauden-Lein","Heimische, besonders geschützte Pflanzen"
"Linum perenne","Ausdauernder Lein, Stauden-Lein","Stauden"
"Liquidambar styraciflua","Amberbaum, Amerikanischer Amberbaum","Laubgehölze"
"Liriodendron tulipifera","Tulpenbaum, Amerikanischer Tulpenbaum","Laubgehölze"
"Lonicera henryi","Immergrünes Geißblatt, Immergrüne Geißschlinge","Laubgehölze"
"Lonicera nitida 'Maigrün'","Immergrüne Flache Heckenmyrte","Laubgehölze"
"Lonicera xylosteum","Gewöhnliche Heckenkirsche, Rote Heckenkirsche","Laubgehölze"
"Lupinus 'My Castle'","Stauden-Lupine, Garten-Lupine","Stauden"
"Luzula sylvatica","Wald-Hainsimse, Wald-Marbel","Ziergräser"
"Lycopodium annotinum","Sprossender Bärlapp, Wald-Bärlapp","Heimische, besonders geschützte Pflanzen"
"Lysimachia punctata","Goldfelberich, Punktierter Gilbweiderich","Stauden"
"Lythrum salicaria","Blut-Weiderich","Stauden"
"Magnolia stellata","Stern-Magnolie","Laubgehölze"
"Magnolia x soulangeana","Tulpen-Magnolie","Laubgehölze"
"Mahonia aquifolium","Gewöhnliche Mahonie","Laubgehölze"
"Malus 'Evereste'Ⓢ","Zier-Apfel, Kirsch-Apfel","Laubgehölze"
"Malus 'Rudolph'","Zier-Apfel, Kirsch-Apfel","Laubgehölze"
"Malus domestica 'Sorte'","Apfel, Kultur-Apfel","Obstgehölze"
"Malus domestica 'Sorte'","Apfel, Kultur-Apfel","Obstgehölze"
"Malus RED JEWEL","Zier-Apfel, Kirsch-Apfel","Laubgehölze"
"Matteuccia struthiopteris","Europäischer Straußenfarn, Trichterfarn","Farne"
"Menyanthes trifoliata","Fieberklee, Bitterklee","Sumpf- und Wasserpflanzen"
"Metasequoia glyptostroboides","Urweltmammutbaum, Chinesisches Rotholz","Nadelgehölze"
"Miscanthus sinensis 'Dread Locks'","Garten-Chinaschilf, Silber-Chinaschilf","Ziergräser"
"Miscanthus sinensis 'Ghana'","Garten-Chinaschilf, Silber-Chinaschilf","Ziergräser"
"Miscanthus sinensis 'Gracillimus'","Zierliches Chinaschilf, Zierliches Garten-Chinaschilf","Ziergräser"
"Molinia arundinacea 'Karl Foerster'","Garten-Pfeifengras, Rohr-Pfeifengras","Ziergräser"
"Musa acuminata","Banane, Koch-Banane","Pflanzen für die Innenraum-Begrünung"
"Muscari botryoides","Kleine Traubenhyazinthe, Kleines Träubel","Heimische, besonders geschützte Pflanzen"
"Muscari botryoides","Kleine Traubenhyazinthe, Kleines Träubel","Zwiebel- und knollenbildende Pflanzen"
"Myosotis sylvatica 'Sorte'","Vergissmeinnicht","Beet- und Balkonpflanzen, Wechselflor"
"Myrtus communis","Braut-Myrte, Gewöhnliche Myrte","Pflanzen für die Innenraum-Begrünung"
"Narcissus 'Sorte' (6 = Alpenveilchen-Narzissen)","Alpenveilchen-Narzisse","Zwiebel- und knollenbildende Pflanzen"
"Narcissus 'Sorte' (7 = Jonquillen)","Jonquille, Jonquillen-Narzisse","Zwiebel- und knollenbildende Pflanzen"
"Narcissus pseudonarcissus","Gelbe Narzisse, Osterglocke","Heimische, besonders geschützte Pflanzen"
"Nepeta x faassenii","Katzenminze, Blaue Katzenminze","Stauden"
"Nerium oleander","Oleander","Pflanzen für die Innenraum-Begrünung"
"Nothofagus antarctica","Scheinbuche, Südbuche, Pfennigbuche","Laubgehölze"
"Nymphaea 'Marliacea Chromatella'","Garten-Seerose","Sumpf- und Wasserpflanzen"
"Nymphaea alba","Weiße Seerose","Heimische, besonders geschützte Pflanzen"
"Oenothera macrocarpa","Missouri-Nachtkerze, Kriechende Nachtkerze","Stauden"
"Olea europaea","Olive, Ölbaum, Olivenbaum","Pflanzen für die Innenraum-Begrünung"
"Orchis purpurea","Purpur-Knabenkraut","Heimische, besonders geschützte Pflanzen"
"Osmunda regalis","Königsfarn, Königs-Rispenfarn","Heimische, besonders geschützte Pflanzen"
"Oxalis corniculata","Gehörnter Sauerklee, Hornfrüchtiger Sauerklee","Unkräuter, Wildkräuter"
"Pachysandra terminalis","Schattengrün, Dickmännchen","Laubgehölze"
"Paeonia 'Sorte' (Lactiflora-Gruppe)","Garten-Pfingstrose, Edel-Pfingstrose","Stauden"
"Panicum virgatum 'Shenandoah'","Garten-Rutenhirse","Ziergräser"
"Papaver orientale 'Feuerriese'","Türkischer Mohn, Stauden-Mohn","Stauden"
"Parrotia persica","Parrotie, Eisenholzbaum","Laubgehölze"
"Parthenocissus tricuspidata 'Veitchii'","Selbstklimmender Wilder Wein, Dreispitz-Jungfernrebe","Laubgehölze"
"Passiflora caerulea","Blaue Passionsblume","Pflanzen für die Innenraum-Begrünung"
"Paulownia tomentosa","Blauglockenbaum","Laubgehölze"
"Pelargonium 'Sorte' (I = Peltatum-Gruppe)","Hängende Geranie, Efeublättrige Pelargonie","Beet- und Balkonpflanzen, Wechselflor"
"Pennisetum alopecuroides 'Hameln'","Lampenputzergras, Federborstengras","Ziergräser"
"Persicaria affinis","Schnecken-Knöterich, Teppich-Knöterich","Stauden"
"Persicaria amplexicaulis 'Speciosa'","Kerzen-Knöterich","Stauden"
"Philadelphus coronarius","Bauernjasmin, Europäischer Pfeifenstrauch","Laubgehölze"
"Phlox 'Aida' (Paniculata-Gruppe)","Garten-Phlox, Großer Stauden-Phlox","Stauden"
"Phlox 'Scarlet Flame' (Subulata-Gruppe)","Polster-Phlox, Moos-Phlox","Stauden"
"Phyllostachys nigra","Schwarzrohrbambus","Laubgehölze"
"Picea abies","Gewöhnliche Fichte, Rot-Fichte","Nadelgehölze"
"Picea omorika","Serbische Fichte, Omorika-Fichte","Nadelgehölze"
"Pieris japonica","Japanische Lavendelheide, Hängendes Schattenglöckchen","Laubgehölze"
"Pinus mugo subsp. mugo","Krummholz-Kiefer","Nadelgehölze"
"Pinus nigra subsp. nigra","Schwarz-Kiefer, Österreichische Schwarz-Kiefer","Nadelgehölze"
"Pinus sylvestris","Wald-Kiefer, Föhre, Gewöhnliche Kiefer","Nadelgehölze"
"Pinus wallichiana","Tränen-Kiefer","Nadelgehölze"
"Plantago major","Breit-Wegerich, Großer Wegerich","Unkräuter, Wildkräuter"
"Platanus x hispanica","Platane, Ahornblättrige Platane","Laubgehölze"
"Polygonatum odoratum","Echtes Salomonssiegel, Wohlriechende Weißwurz","Stauden"
"Polystichum aculeatum","Glanz-Schildfarn, Dorniger Schildfarn","Farne"
"Populus nigra 'Italica'","Säulen-Pappel, Pyramiden-Pappel","Laubgehölze"
"Populus tremula","Zitter-Pappel, Espe","Laubgehölze"
"Potentilla fruticosa 'Goldfinger'","Fingerstrauch","Laubgehölze"
"Primula veris","Echte Schlüsselblume, Wiesen-Primel","Heimische, besonders geschützte Pflanzen"
"Primula veris","Echte Schlüsselblume, Wiesen-Primel","Stauden"
"Prunus 'Accolade'","Frühe Zier-Kirsche","Laubgehölze"
"Prunus avium","Vogel-Kirsche, Wild-Kirsche","Laubgehölze"
"Prunus avium 'Sorte'","Süß-Kirsche, Knorpel-Kirsche, Herz-Kirsche","Obstgehölze"
"Prunus cerasifera 'Nigra'","Blut-Pflaume","Laubgehölze"
"Prunus cerasus 'Sorte'","Sauer-Kirsche, Weichsel","Obstgehölze"
"Prunus domestica 'Sorte'","Pflaume, Zwetsche, Zwetschge","Obstgehölze"
"Prunus laurocerasus 'Herbergii'","Aufrechte Lorbeerkirsche, Aufrechter Kirschlorbeer","Laubgehölze"
"Prunus laurocerasus 'Rotundifolia'","Rundblättrige Lorbeerkirsche, Rundblättriger Kirschlorbeer","Laubgehölze"
